,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,58.75,68.0,64.0,3.36,ZA,1650866035.0
1,wattegama,6.7989,81.4808,92.16,51.0,60.0,1.88,LK,1650866035.0
2,half moon bay,37.4636,-122.4286,56.48,77.0,0.0,16.11,US,1650866035.0
3,yellowknife,62.456,-114.3525,30.72,69.0,20.0,13.8,CA,1650866036.0
4,avarua,-21.2078,-159.775,77.05,88.0,98.0,1.14,CK,1650865903.0
5,ribeira grande,38.5167,-28.7,58.71,74.0,15.0,16.02,PT,1650866006.0
6,mataura,-46.1927,168.8643,52.48,87.0,96.0,8.7,NZ,1650866036.0
7,raichur,16.2,77.3667,100.67,21.0,0.0,5.88,IN,1650866036.0
8,kapaa,22.0752,-159.319,74.12,79.0,12.0,3.0,US,1650866037.0
9,mayo,38.8876,-76.5119,56.26,85.0,0.0,5.01,US,1650866037.0
10,atuona,-9.8,-139.0333,79.03,73.0,25.0,18.99,PF,1650866037.0
11,barrow,71.2906,-156.7887,15.82,79.0,100.0,11.5,US,1650865897.0
12,mezen,65.8522,44.24,34.3,81.0,70.0,6.44,RU,1650866038.0
13,airai,-8.9266,125.4092,74.3,44.0,94.0,2.77,TL,1650866038.0
14,panguna,-6.3164,155.4848,76.37,81.0,66.0,1.28,PG,1650866038.0
15,lewiston,44.1003,-70.2148,42.66,70.0,100.0,0.0,US,1650866039.0
16,los llanos de aridane,28.6585,-17.9182,62.35,89.0,100.0,17.27,ES,1650866039.0
17,yar-sale,66.8333,70.8333,17.53,83.0,34.0,5.39,RU,1650866039.0
18,magistralnyy,56.1725,107.4458,35.85,45.0,83.0,7.25,RU,1650866039.0
19,esperance,-33.8667,121.9,75.04,47.0,72.0,6.98,AU,1650866040.0
20,bluff,-46.6,168.3333,52.81,68.0,94.0,21.47,NZ,1650866040.0
21,margate,51.3813,1.3862,47.7,80.0,6.0,8.01,GB,1650866040.0
22,vryburg,-26.9566,24.7284,51.01,36.0,34.0,9.33,ZA,1650866041.0
23,butaritari,3.0707,172.7902,81.86,78.0,66.0,13.94,KI,1650866041.0
24,kavaratti,10.5669,72.642,84.69,69.0,23.0,2.35,IN,1650866041.0
26,dikson,73.5069,80.5464,15.78,91.0,100.0,20.07,RU,1650866042.0
27,rikitea,-23.1203,-134.9692,72.07,79.0,100.0,8.79,PF,1650866042.0
28,oxbow,49.2333,-102.1676,15.35,93.0,66.0,7.07,CA,1650866042.0
29,hithadhoo,-0.6,73.0833,84.49,71.0,97.0,5.86,MV,1650866043.0
31,katyuzhanka,50.806,30.1376,55.69,72.0,63.0,12.03,UA,1650866043.0
